"","SidersPond","MCP_5MC2","MCP_6MC2","MCP_7MC2","MCP_8MC2","MCP_9MC2","MCP_11MC2","MCP_12MC2","MCP_14MC2","MCP_15MC2"
"6310bd545c25bc818bce75d76bc259a1",0,0,0,116.06,0,0,0,265.28,596.88,66.32
"3fa2974b1f70109275811beb1ae321c9",0,93863.7,216796.3,300896.4,115166.1,139797,122488.8,106068.2,68789,8654.1
"cf3381318906e1e08f58bca905636dc0",79393.6,2593061.6,2895645.6,5177795.2,3952191.2,4879375.2,6191868,8584780,7801670.4,9920313.6
"98f53519513214e968c569829a1471bb",0,6070,3642,5827.2,7041.2,6070,9226.4,19666.8,20152.4,37148.4
"a5e4fa1c4fdfceff6877d2ba21ae0b91",0,0,0,0,0,0,0,3328.2,7026.2,22188
"801efb14d6457f799fd2becee6d07b72",0,13169.2,17023.6,29871.6,30514,26338.4,52998,66809.6,104711.2,94432.8
"d94c20c00db235bb6fccc68f06f100c7",0,7403.7,11488.5,32423.1,35742,39316.2,68675.7,27317.1,0,0
"9d5fa8335722caf15c7501355831afdd",0,0,0,0,1203.2,2105.6,2707.2,7520,14739.2,0
"a6db2d87f1e7a32216e5041a1920f12e",0,31878,23598,146970,18630,274482,431388,989460,629280,188370
"f1e34308d952529287ada31976faec95",0,7343.5,10822,32466,24736,32079.5,47539.5,43288,32466,16233
"8b1b6b50ee8e9d52ac980948823b441f",0,198.96,281.86,729.52,447.66,414.5,1326.4,1923.28,2122.24,663.2
"3e5cc4006667756b128e551a166d5861",0,5991.3,9319.8,12426.4,9541.7,3550.4,2884.7,6435.1,17086.3,3106.6
"b93f0c1f2e8178c7ce1d957ab357dd77",0,0,0,0,0,0,0,0,8605.6,3331.2
"efbe1f58b1e2984ddc53a64f047d94ff",0,3654868.4,4022224.8,6069757.2,4343934.8,3143774.4,1186320.8,354973.6,96877.2,24522.8
"83c246c4ed456dea2a15d054f16009b3",0,25516.2,23297.4,35500.8,56209.6,138305.2,1418922.6,1247705.2,63975.4,1901141.8
"7af6ae689696e9ea838fbb88ee9afb78",0,0,0,3854.4,8672.4,7708.8,45289.2,53961.6,124946.8,0
"acc9603a819dc23a606ac6c1b9105b6d",0,22721.7,12509.7,19913.4,29104.2,50294.1,137862,257597.7,316061.4,1270628.1
"27af011f1ebcc0867bb168193e6a9d27",0,0,8723.2,23161.6,7820.8,15040,19852.8,41209.6,82720,25568
"c1d9eada909d2d5dbe078f25f1038508",0,6624,6624,6624,9522,0,18216,60030,72036,24840
"5ed8f8f3a98e669d81b30c56825e0870",0,8116.5,10822,42515,18938.5,30147,44061,56429,177017,1095341
"5c21f017407dbb74aea300b42e85dd30",0,0,0,116.06,0,0,447.66,431.08,513.98,0
